"","Rk","Date","Tm","Opp","Result","Player","Dist","Good.","Blk.","Y","B","year","month","season"
"2","1","2019-12-29","ARI","LAR","L 24-31","Zane Gonzalez","31","Y","N",1,0,2019,12,2019
"3","2","2019-12-22","ARI","SEA","W 27-13","Zane Gonzalez","46","Y","N",1,0,2019,12,2019
"4","3","2019-12-22","ARI","SEA","W 27-13","Zane Gonzalez","22","Y","N",1,0,2019,12,2019
"5","4","2019-12-22","ARI","SEA","W 27-13","Zane Gonzalez","45","N","Y",0,1,2019,12,2019
"6","5","2019-12-15","ARI","CLE","W 38-24","Zane Gonzalez","21","Y","N",1,0,2019,12,2019
"7","6","2019-12-08","ARI","PIT","L 17-23","Zane Gonzalez","30","Y","N",1,0,2019,12,2019
"8","7","2019-11-17","ARI","SFO","L 26-36","Zane Gonzalez","43","Y","N",1,0,2019,11,2019
"9","8","2019-11-17","ARI","SFO","L 26-36","Zane Gonzalez","26","Y","N",1,0,2019,11,2019
"10","9","2019-11-10","ARI","TAM","L 27-30","Zane Gonzalez","54","Y","N",1,0,2019,11,2019
"11","10","2019-11-10","ARI","TAM","L 27-30","Zane Gonzalez","37","Y","N",1,0,2019,11,2019
"12","11","2019-10-31","ARI","SFO","L 25-28","Zane Gonzalez","36","Y","N",1,0,2019,10,2019
"13","12","2019-10-27","ARI","NOR","L 9-31","Zane Gonzalez","31","Y","N",1,0,2019,10,2019
"14","13","2019-10-27","ARI","NOR","L 9-31","Zane Gonzalez","50","Y","N",1,0,2019,10,2019
"15","14","2019-10-27","ARI","NOR","L 9-31","Zane Gonzalez","31","Y","N",1,0,2019,10,2019
"16","15","2019-10-20","ARI","NYG","W 27-21","Zane Gonzalez","35","Y","N",1,0,2019,10,2019
"17","16","2019-10-20","ARI","NYG","W 27-21","Zane Gonzalez","47","Y","N",1,0,2019,10,2019
"18","17","2019-10-13","ARI","ATL","W 34-33","Zane Gonzalez","22","Y","N",1,0,2019,10,2019
"19","18","2019-10-13","ARI","ATL","W 34-33","Zane Gonzalez","39","Y","N",1,0,2019,10,2019
"20","19","2019-10-06","ARI","CIN","W 26-23","Zane Gonzalez","31","Y","N",1,0,2019,10,2019
"21","20","2019-10-06","ARI","CIN","W 26-23","Zane Gonzalez","23","Y","N",1,0,2019,10,2019
"22","21","2019-10-06","ARI","CIN","W 26-23","Zane Gonzalez","22","Y","N",1,0,2019,10,2019
"23","22","2019-10-06","ARI","CIN","W 26-23","Zane Gonzalez","37","N","N",0,0,2019,10,2019
"24","23","2019-10-06","ARI","CIN","W 26-23","Zane Gonzalez","20","Y","N",1,0,2019,10,2019
"25","24","2019-09-29","ARI","SEA","L 10-27","Zane Gonzalez","33","Y","N",1,0,2019,9,2019
"26","25","2019-09-29","ARI","SEA","L 10-27","Zane Gonzalez","43","N","N",0,0,2019,9,2019
"27","26","2019-09-29","ARI","SEA","L 10-27","Zane Gonzalez","48","N","N",0,0,2019,9,2019
"28","27","2019-09-22","ARI","CAR","L 20-38","Zane Gonzalez","47","Y","N",1,0,2019,9,2019
"29","28","2019-09-22","ARI","CAR","L 20-38","Zane Gonzalez","34","Y","N",1,0,2019,9,2019
"30","29","2019-09-15","ARI","BAL","L 17-23","Zane Gonzalez","21","Y","N",1,0,2019,9,2019
"31","30","2019-09-15","ARI","BAL","L 17-23","Zane Gonzalez","22","Y","N",1,0,2019,9,2019
"32","31","2019-09-15","ARI","BAL","L 17-23","Zane Gonzalez","21","Y","N",1,0,2019,9,2019
"33","32","2019-09-08","ARI","DET","T 27-27","Zane Gonzalez","20","Y","N",1,0,2019,9,2019
"34","33","2019-09-08","ARI","DET","T 27-27","Zane Gonzalez","34","Y","N",1,0,2019,9,2019
"35","34","2019-09-08","ARI","DET","T 27-27","Zane Gonzalez","42","Y","N",1,0,2019,9,2019
"36","35","2019-09-08","ARI","DET","T 27-27","Zane Gonzalez","28","Y","N",1,0,2019,9,2019
"210","1","2019-12-29","ATL","TAM","W 28-22","Younghoe Koo","45","Y","N",1,0,2019,12,2019
"310","2","2019-12-29","ATL","TAM","W 28-22","Younghoe Koo","33","Y","N",1,0,2019,12,2019
"42","3","2019-12-29","ATL","TAM","W 28-22","Younghoe Koo","33","Y","N",1,0,2019,12,2019
"51","4","2019-12-29","ATL","TAM","W 28-22","Younghoe Koo","43","Y","N",1,0,2019,12,2019
"61","5","2019-12-29","ATL","TAM","W 28-22","Younghoe Koo","27","Y","N",1,0,2019,12,2019
"71","6","2019-12-22","ATL","JAX","W 24-12","Younghoe Koo","23","Y","N",1,0,2019,12,2019
"81","7","2019-12-22","ATL","JAX","W 24-12","Younghoe Koo","42","N","N",0,0,2019,12,2019
"91","8","2019-12-15","ATL","SFO","W 29-22","Younghoe Koo","43","Y","N",1,0,2019,12,2019
"101","9","2019-12-08","ATL","CAR","W 40-20","Younghoe Koo","35","Y","N",1,0,2019,12,2019
"111","10","2019-12-08","ATL","CAR","W 40-20","Younghoe Koo","50","Y","N",1,0,2019,12,2019
"121","11","2019-12-08","ATL","CAR","W 40-20","Younghoe Koo","37","Y","N",1,0,2019,12,2019
"131","12","2019-12-08","ATL","CAR","W 40-20","Younghoe Koo","29","Y","N",1,0,2019,12,2019
"141","13","2019-11-28","ATL","NOR","L 18-26","Younghoe Koo","45","Y","N",1,0,2019,11,2019
"151","14","2019-11-28","ATL","NOR","L 18-26","Younghoe Koo","42","N","N",0,0,2019,11,2019
"161","15","2019-11-28","ATL","NOR","L 18-26","Younghoe Koo","43","Y","N",1,0,2019,11,2019
"171","16","2019-11-24","ATL","TAM","L 22-35","Younghoe Koo","38","Y","N",1,0,2019,11,2019
"181","17","2019-11-24","ATL","TAM","L 22-35","Younghoe Koo","40","Y","N",1,0,2019,11,2019
"191","18","2019-11-24","ATL","TAM","L 22-35","Younghoe Koo","25","Y","N",1,0,2019,11,2019
"201","19","2019-11-17","ATL","CAR","W 29-3","Younghoe Koo","29","Y","N",1,0,2019,11,2019
"211","20","2019-11-17","ATL","CAR","W 29-3","Younghoe Koo","38","Y","N",1,0,2019,11,2019
"221","21","2019-11-17","ATL","CAR","W 29-3","Younghoe Koo","23","Y","N",1,0,2019,11,2019
"231","22","2019-11-17","ATL","CAR","W 29-3","Younghoe Koo","38","N","N",0,0,2019,11,2019
"241","23","2019-11-10","ATL","NOR","W 26-9","Younghoe Koo","48","Y","N",1,0,2019,11,2019
"251","24","2019-11-10","ATL","NOR","W 26-9","Younghoe Koo","36","Y","N",1,0,2019,11,2019
"261","25","2019-11-10","ATL","NOR","W 26-9","Younghoe Koo","30","Y","N",1,0,2019,11,2019
"271","26","2019-11-10","ATL","NOR","W 26-9","Younghoe Koo","37","Y","N",1,0,2019,11,2019
"281","27","2019-10-27","ATL","SEA","L 20-27","Matt Bryant","37","Y","N",1,0,2019,10,2019
"291","28","2019-10-27","ATL","SEA","L 20-27","Matt Bryant","51","N","N",0,0,2019,10,2019
"301","29","2019-10-27","ATL","SEA","L 20-27","Matt Bryant","47","Y","N",1,0,2019,10,2019
"311","30","2019-10-27","ATL","SEA","L 20-27","Matt Bryant","53","N","N",0,0,2019,10,2019
"321","31","2019-10-20","ATL","LAR","L 10-37","Matt Bryant","52","Y","N",1,0,2019,10,2019
"331","32","2019-10-20","ATL","LAR","L 10-37","Matt Bryant","50","N","N",0,0,2019,10,2019
"341","33","2019-10-13","ATL","ARI","L 33-34","Matt Bryant","44","Y","N",1,0,2019,10,2019
"351","34","2019-10-13","ATL","ARI","L 33-34","Matt Bryant","29","Y","N",1,0,2019,10,2019
"361","35","2019-10-06","ATL","HOU","L 32-53","Matt Bryant","35","Y","N",1,0,2019,10,2019
"37","36","2019-09-29","ATL","TEN","L 10-24","Matt Bryant","42","Y","N",1,0,2019,9,2019
"38","37","2019-09-29","ATL","TEN","L 10-24","Matt Bryant","32","N","N",0,0,2019,9,2019
"39","38","2019-09-22","ATL","IND","L 24-27","Matt Bryant","34","Y","N",1,0,2019,9,2019
"40","39","2019-09-15","ATL","PHI","W 24-20","Matt Bryant","50","Y","N",1,0,2019,9,2019
"41","40","2019-09-15","ATL","PHI","W 24-20","Matt Bryant","50","N","N",0,0,2019,9,2019
"212","1","2020-01-11","BAL","TEN","L 12-28","Justin Tucker","49","Y","N",1,0,2020,1,2019
"312","2","2020-01-11","BAL","TEN","L 12-28","Justin Tucker","22","Y","N",1,0,2020,1,2019
"43","3","2019-12-29","BAL","PIT","W 28-10","Justin Tucker","22","Y","N",1,0,2019,12,2019
"52","4","2019-12-29","BAL","PIT","W 28-10","Justin Tucker","47","Y","N",1,0,2019,12,2019
"62","5","2019-12-29","BAL","PIT","W 28-10","Justin Tucker","45","Y","N",1,0,2019,12,2019
"72","6","2019-12-29","BAL","PIT","W 28-10","Justin Tucker","42","Y","N",1,0,2019,12,2019
"82","7","2019-12-22","BAL","CLE","W 31-15","Justin Tucker","31","Y","N",1,0,2019,12,2019
