Date,Target,Blaster,Darts,Distance,Person,0,1,2,3,4,5,6,7,8,9
2020-11-02,L,Ninja,AS,20,J,0,0,1,0,0,2,1,0,0,0
2020-11-02,L,SF,LV,20,A,3,0,0,0,0,1,0,0,0,0
2020-11-02,L,SA,AS,20,J,3,1,0,0,0,1,0,1,0,0
2020-11-02,L,SW,AS,20,A,2,0,0,0,0,0,0,1,0,1
2020-11-02,L,SA,LV,20,D,0,0,0,1,0,2,0,1,1,1
2020-11-02,L,SW,LV,20,A,3,0,0,0,0,0,0,1,0,0
2020-11-02,L,SA,AS,20,D,0,0,1,0,0,3,0,0,2,0
2020-11-02,L,SA,LV,20,A,3,0,1,0,0,0,1,0,1,0
2020-11-02,L,Ninja,AS,20,D,0,0,3,0,0,1,0,0,0,0
2020-11-02,L,Ninja,AS,20,A,1,0,2,0,0,1,0,0,0,0
2020-11-02,L,SA,LV,20,D,1,0,1,1,1,1,0,0,1,0
2020-11-02,L,Ninja,AS,20,A,0,1,0,0,0,2,0,1,0,0
2020-11-02,L,SA,AS,20,D,0,0,1,0,0,4,1,0,0,0
2020-11-02,L,Ninja,AS,20,A,0,0,0,0,0,2,0,0,1,1
2020-11-02,L,Ninja,LV,20,D,2,0,0,0,0,1,1,0,0,0
2020-11-02,L,Ninja,AS,20,A,0,1,1,0,0,2,0,0,0,0
2020-11-02,L,SA,LV,20,D,1,1,1,0,0,2,0,0,1,0
2020-11-02,L,Ninja,AS,20,A,0,0,0,1,0,2,1,0,0,0
2020-11-02,L,Ninja,LV,20,D,0,2,0,0,0,1,0,0,1,0
2020-11-02,L,Ninja,AS,20,J,1,0,0,1,0,0,2,0,0,0
2020-11-02,L,Ninja,AS,20,A,0,0,0,0,1,3,0,0,0,0
2020-11-02,L,SA,AS,20,D,0,0,0,0,0,4,1,0,1,0
2020-11-02,L,Ninja,AS,20,J,1,0,0,0,0,1,1,0,1,0
2020-11-02,L,Ninja,AS,20,A,0,0,0,0,0,3,0,0,1,0
2020-11-02,L,SA,LV,20,D,0,0,1,0,0,1,1,1,1,1
2020-11-02,L,Ninja,LV,20,J,0,0,0,1,1,0,1,0,1,0
2020-11-02,L,Ninja,AS,20,A,0,0,2,0,2,0,0,0,0,0
