Time, Probe1 ºF, Probe 2 ºF, Probe 3 ºF, Probe 4 ºF
Sep 8  2019  3:44:35 AM,61.0, No Probe, No Probe,240.0
Sep 8  2019  3:45:39 AM,62.2, No Probe, No Probe,239.1
Sep 8  2019  3:46:39 AM,63.4, No Probe, No Probe,240.8
Sep 8  2019  3:47:27 AM,64.1, No Probe, No Probe,239.6
Sep 8  2019  3:47:37 AM,64.3, No Probe, No Probe,240.4
Sep 8  2019  3:47:48 AM,64.6, No Probe, No Probe,239.5
Sep 8  2019  3:47:48 AM,65.0, No Probe, No Probe,239.9
Sep 8  2019  3:48:08 AM,65.3, No Probe, No Probe,240.6
Sep 8  2019  3:48:18 AM,65.4, No Probe, No Probe,240.7
Sep 8  2019  3:48:28 AM,65.3, No Probe, No Probe,240.0
Sep 8  2019  3:48:38 AM,65.4, No Probe, No Probe,239.3
Sep 8  2019  3:48:49 AM,65.9, No Probe, No Probe,239.9
Sep 8  2019  3:48:59 AM,66.3, No Probe, No Probe,240.3
Sep 8  2019  3:49:09 AM,66.0, No Probe, No Probe,239.9
Sep 8  2019  3:49:18 AM,66.3, No Probe, No Probe,239.3
Sep 8  2019  3:49:28 AM,66.4, No Probe, No Probe,239.4
Sep 8  2019  3:49:38 AM,66.7, No Probe, No Probe,240.2
Sep 8  2019  3:49:48 AM,67.1, No Probe, No Probe,239.3
Sep 8  2019  3:49:58 AM,67.3, No Probe, No Probe,239.5
Sep 8  2019  3:50:08 AM,67.5, No Probe, No Probe,239.1
Sep 8  2019  3:50:18 AM,67.8, No Probe, No Probe,239.8
Sep 8  2019  3:50:28 AM,67.8, No Probe, No Probe,239.4
Sep 8  2019  3:50:38 AM,68.1, No Probe, No Probe,239.1
Sep 8  2019  3:50:48 AM,68.1, No Probe, No Probe,239.5
Sep 8  2019  3:50:59 AM,68.2, No Probe, No Probe,239.8
Sep 8  2019  3:51:09 AM,68.7, No Probe, No Probe,240.0
Sep 8  2019  3:51:18 AM,68.9, No Probe, No Probe,239.1
Sep 8  2019  3:51:28 AM,69.2, No Probe, No Probe,238.4
Sep 8  2019  3:51:38 AM,69.4, No Probe, No Probe,238.9
Sep 8  2019  3:51:48 AM,69.6, No Probe, No Probe,238.6
Sep 8  2019  3:51:58 AM,69.7, No Probe, No Probe,239.0
Sep 8  2019  3:52:08 AM,69.9, No Probe, No Probe,239.5
Sep 8  2019  3:52:18 AM,69.9, No Probe, No Probe,239.5
Sep 8  2019  3:52:29 AM,69.9, No Probe, No Probe,240.0
Sep 8  2019  3:52:39 AM,70.1, No Probe, No Probe,240.5
Sep 8  2019  3:52:48 AM,70.5, No Probe, No Probe,240.5
Sep 8  2019  3:52:58 AM,70.8, No Probe, No Probe,240.1
Sep 8  2019  3:53:08 AM,71.1, No Probe, No Probe,239.0
Sep 8  2019  3:53:18 AM,71.3, No Probe, No Probe,239.5
Sep 8  2019  3:53:28 AM,71.5, No Probe, No Probe,240.5
Sep 8  2019  3:53:38 AM,71.6, No Probe, No Probe,239.5
Sep 8  2019  3:53:48 AM,71.7, No Probe, No Probe,239.2
Sep 8  2019  3:53:58 AM,71.8, No Probe, No Probe,238.2
Sep 8  2019  3:54:08 AM,71.8, No Probe, No Probe,237.7
Sep 8  2019  3:54:18 AM,72.0, No Probe, No Probe,238.8
