"","par","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"1","Bdart_sigma_x[1]",-1.46932975864635,0.0110463506302509,0.525081840785937,-2.46799887251667,-1.8258166319156,-1.46752997768164,-1.12488998335377,-0.427691100426043,2259.52083050743,1.00060546859163
"2","Bdart_sigma_x[2]",-0.862066682138639,0.0112359178463329,0.539470396160408,-1.89110169145855,-1.23122101294967,-0.850463438995995,-0.497825738994023,0.201784222540642,2305.25049877133,1.00060548734561
"3","Bdart_sigma_x[3]",-1.17024920210327,0.0152100006154004,0.843014805289421,-2.80237337309794,-1.73648386366156,-1.18923781912813,-0.600030540441292,0.472884252853046,3071.93442335062,1.00028454195033
"4","Bblaster_sigma_x[1]",-1.16320433267289,0.0148941816076188,0.836549747652292,-2.74107255306615,-1.75192951918313,-1.16723693981611,-0.57975930635343,0.476850589120849,3154.64326417885,1.00074715449372
"5","Bblaster_sigma_x[2]",-1.22664455264544,0.00990846394674603,0.46334833426768,-2.12314343789625,-1.54836218256736,-1.23545341918162,-0.902351426412515,-0.339374985349865,2186.76716999146,0.999330924043625
"6","Bblaster_sigma_x[3]",-0.996830899951079,0.0100194745736579,0.458323835124674,-1.88528649755804,-1.30463068489496,-0.995087717578637,-0.685942914226907,-0.109278061803281,2092.44953013033,0.999448872384953
"7","Bblaster_sigma_x[4]",-0.957697413814514,0.0102778933771386,0.497194655118223,-1.93423409742995,-1.29707432916831,-0.954594051897816,-0.620360686019037,0.00804559570336894,2340.1553381712,1.00012576283362
"8","Bblaster_sigma_x[5]",-1.18174239282496,0.00969456881784879,0.448290590294184,-2.04804395540597,-1.49216214378547,-1.18423021217314,-0.874534727091455,-0.311372369770193,2138.26855986112,0.999227827661035
"9","Bperson_sigma_x[1]",-0.791600892686919,0.0106707574793884,0.508076365881985,-1.79604157566221,-1.13359168618443,-0.777431498644831,-0.445998901334933,0.1936333390874,2267.0833512533,0.999870091995706
"10","Bperson_sigma_x[2]",-1.63889787798363,0.0109538303862675,0.486845197629994,-2.58031023538424,-1.96595881763926,-1.63162090554166,-1.30533305385276,-0.698436968302314,1975.37592757498,1.00068177571064
"11","Bperson_sigma_x[3]",-1.12936781118166,0.0107238519417653,0.481678543549379,-2.09791024562757,-1.44451218561556,-1.12598650643486,-0.803457826222371,-0.219305036521555,2017.49739889077,1.00043004461351
"12","Bdart_sigma_y[1]",-1.41159898469099,0.0108497961133063,0.508585655995546,-2.41019904277237,-1.76083112311716,-1.40315604062185,-1.06271212221542,-0.425252579278351,2197.27826797735,1.00024909578065
"13","Bdart_sigma_y[2]",-1.19056942187508,0.0112784879505446,0.52375257146854,-2.21845411711308,-1.54769047580639,-1.18113426212723,-0.827348500598011,-0.181649912224223,2156.50553254322,1.0003820803186
"14","Bdart_sigma_y[3]",-0.492553972967437,0.0131866257226053,0.81394977291142,-2.11193508111396,-1.01949703514845,-0.499501468899685,0.0386350216063676,1.15084259594527,3810.02524419828,1.00063257650938
