"","GameId","GameDate","Description","OffenseTeam","Kicker","Outcome","YardLine","Distance","id"
"1",2024122903,"2024-12-29","(2:24) 9-G.GANO 30 YARD FIELD GOAL IS GOOD, CENTER-59-C.KREITER, HOLDER-6-J.GILLAN.","NYG","9-G.GANO","GOOD",12,30,45
"2",2024122906,"2024-12-29","(10:50) 39-C.LITTLE 48 YARD FIELD GOAL IS GOOD, CENTER-46-R.MATISCIK, HOLDER-9-L.COOKE.","JAX","39-C.LITTLE","GOOD",30,48,21
"3",2024122908,"2024-12-29","(:03) 19-B.GRUPE 34 YARD FIELD GOAL IS GOOD, CENTER-49-Z.WOOD, HOLDER-43-M.HAYBALL.","NO","19-B.GRUPE","GOOD",16,34,9
"4",2024122903,"2024-12-29","(9:29) 7-M.GAY 29 YARD FIELD GOAL IS GOOD, CENTER-46-L.RHODES, HOLDER-8-R.SANCHEZ.","IND","7-M.GAY","GOOD",11,29,41
"5",2024122903,"2024-12-29","(3:48) 7-M.GAY 32 YARD FIELD GOAL IS GOOD, CENTER-46-L.RHODES, HOLDER-8-R.SANCHEZ.","IND","7-M.GAY","GOOD",13,32,41
"6",2024122214,"2024-12-22","(:03) 3-C.YORK 59 YARD FIELD GOAL IS GOOD, CENTER-48-C.ADOMITIS, HOLDER-8-R.REHKOW.","CIN","3-C.YORK","GOOD",41,59,14
"7",2024122501,"2024-12-25","(2:51) 9-J.TUCKER 52 YARD FIELD GOAL IS GOOD, CENTER-46-N.MOORE, HOLDER-11-J.STOUT.","BAL","9-J.TUCKER","GOOD",34,52,47
"8",2024122213,"2024-12-22","(6:38) 17-B.AUBREY 53 YARD FIELD GOAL IS GOOD, CENTER-44-T.SIEG, HOLDER-5-B.ANGER.","DAL","17-B.AUBREY","GOOD",35,53,6
"9",2024122800,"2024-12-28","(3:51) 11-C.DICKER 35 YARD FIELD GOAL IS GOOD, CENTER-47-J.HARRIS, HOLDER-16-J.SCOTT.","LAC","11-C.DICKER","GOOD",17,35,1
"10",2024122800,"2024-12-28","(5:47) 11-C.DICKER 41 YARD FIELD GOAL IS GOOD, CENTER-47-J.HARRIS, HOLDER-16-J.SCOTT.","LAC","11-C.DICKER","GOOD",23,41,1
"11",2024122800,"2024-12-28","(:06) 11-C.DICKER 38 YARD FIELD GOAL IS GOOD, CENTER-47-J.HARRIS, HOLDER-16-J.SCOTT.","LAC","11-C.DICKER","GOOD",20,38,1
"12",2024122600,"2024-12-26","(9:03) 5-J.MYERS 27 YARD FIELD GOAL IS GOOD, CENTER-41-C.STOLL, HOLDER-4-M.DICKSON.","SEA","5-J.MYERS","GOOD",9,27,34
"13",2024100608,"2024-10-06","(10:03) 38-C.RYLAND 42 YARD FIELD GOAL IS GOOD, CENTER-46-A.BREWER, HOLDER-12-B.GILLIKIN.","ARI","38-C.RYLAND","GOOD",24,42,20
"14",2024110308,"2024-11-03","(7:18) 13-J.SLYE 52 YARD FIELD GOAL IS GOOD, CENTER-49-J.CARDONA, HOLDER-17-B.BARINGER.","NE","13-J.SLYE","GOOD",34,52,2
"15",2024120107,"2024-12-01","(3:08) 4-C.MCLAUGHLIN 26 YARD FIELD GOAL IS GOOD, CENTER-86-E.DECKERS, HOLDER-16-T.GILL.","TB","4-C.MCLAUGHLIN","GOOD",8,26,23
"16",2024122907,"2024-12-29","(1:50) 17-B.MCMANUS 22 YARD FIELD GOAL IS GOOD, CENTER-42-M.ORZECH, HOLDER-19-D.WHELAN.","GB","17-B.MCMANUS","GOOD",4,22,7
"17",2024122906,"2024-12-29","(2:06) 39-C.LITTLE 44 YARD FIELD GOAL IS GOOD, CENTER-46-R.MATISCIK, HOLDER-9-L.COOKE.","JAX","39-C.LITTLE","GOOD",26,44,21
"18",2024122907,"2024-12-29","(9:22) 16-W.REICHARD 43 YARD FIELD GOAL IS NO GOOD, HIT LEFT UPRIGHT, CENTER-42-A.DEPAOLA, HOLDER-17-R.WRIGHT.","MIN","16-W.REICHARD","WIDE LEFT",25,43,5
"19",2024122210,"2024-12-22","(6:29) 16-W.REICHARD 48 YARD FIELD GOAL IS GOOD, CENTER-42-A.DEPAOLA, HOLDER-17-R.WRIGHT.","MIN","16-W.REICHARD","GOOD",30,48,5
"20",2024122212,"2024-12-22","(1:11) 7-J.SANDERS 33 YARD FIELD GOAL IS GOOD, CENTER-47-J.MCQUAIDE, HOLDER-16-J.BAILEY.","MIA","7-J.SANDERS","GOOD",15,33,40
"21",2024122212,"2024-12-22","(3:34) 7-J.SANDERS 44 YARD FIELD GOAL IS GOOD, CENTER-47-J.MCQUAIDE, HOLDER-16-J.BAILEY.","MIA","7-J.SANDERS","GOOD",26,44,40
"22",2024122208,"2024-12-22","(11:42) 4-J.ELLIOTT 24 YARD FIELD GOAL IS GOOD, CENTER-49-R.LOVATO, HOLDER-10-B.MANN.","PHI","4-J.ELLIOTT","GOOD",6,24,25
"23",2024122207,"2024-12-22","(12:47) 16-J.KARTY 38 YARD FIELD GOAL IS GOOD, CENTER-47-A.WARD, HOLDER-42-E.EVANS.","LA","16-J.KARTY","GOOD",20,38,4
"24",2024122904,"2024-12-29","(:06) 37-R.PATTERSON 39 YARD FIELD GOAL IS GOOD, CENTER-49-L.MCCULLOUGH, HOLDER-13-B.PINION.","ATL","37-R.PATTERSON","GOOD",21,39,19
"25",2024122101,"2024-12-21","(3:14) 9-J.TUCKER 23 YARD FIELD GOAL IS GOOD, CENTER-46-N.MOORE, HOLDER-11-J.STOUT.","BAL","9-J.TUCKER","GOOD",6,23,47
"26",2024122101,"2024-12-21","(:05) 9-C.BOSWELL 51 YARD FIELD GOAL IS GOOD, CENTER-46-C.KUNTZ, HOLDER-8-C.WAITMAN.","PIT","9-C.BOSWELL","GOOD",33,51,44
"27",2024122205,"2024-12-22","(:06) 39-J.BATES 34 YARD FIELD GOAL IS GOOD, CENTER-49-H.HATTEN, HOLDER-3-J.FOX.","DET","39-J.BATES","GOOD",16,34,22
"28",2024122206,"2024-12-22","(10:36) 7-M.GAY 55 YARD FIELD GOAL IS NO GOOD, WIDE RIGHT, CENTER-46-L.RHODES, HOLDER-8-R.SANCHEZ.","IND","7-M.GAY","WIDE RIGHT",37,55,41
"29",2024122206,"2024-12-22","(2:13) 7-M.GAY 31 YARD FIELD GOAL IS GOOD, CENTER-46-L.RHODES, HOLDER-8-R.SANCHEZ.","IND","7-M.GAY","GOOD",13,31,41
"30",2024122202,"2024-12-22","(11:48) 37-R.PATTERSON 43 YARD FIELD GOAL IS NO GOOD, WIDE LEFT, CENTER-49-L.MCCULLOUGH, HOLDER-13-B.PINION.","ATL","37-R.PATTERSON","WIDE LEFT",25,43,19
"31",2024122202,"2024-12-22","(10:41) 37-R.PATTERSON 52 YARD FIELD GOAL IS GOOD, CENTER-49-L.MCCULLOUGH, HOLDER-13-B.PINION.","ATL","37-R.PATTERSON","GOOD",34,52,19
"32",2024121901,"2024-12-19","(8:53) 11-C.DICKER 37 YARD FIELD GOAL IS GOOD, CENTER-47-J.HARRIS, HOLDER-16-J.SCOTT.","LAC","11-C.DICKER","GOOD",19,37,1
"33",2024122208,"2024-12-22","(2:02) 4-J.ELLIOTT 40 YARD FIELD GOAL IS GOOD, CENTER-49-R.LOVATO, HOLDER-10-B.MANN.","PHI","4-J.ELLIOTT","GOOD",22,40,25
"34",2024122213,"2024-12-22","(9:10) 17-B.AUBREY 58 YARD FIELD GOAL IS GOOD, CENTER-44-T.SIEG, HOLDER-5-B.ANGER.","DAL","17-B.AUBREY","GOOD",40,58,6
"35",2024122100,"2024-12-21","(3:12) 15-K.FAIRBAIRN 33 YARD FIELD GOAL IS GOOD, CENTER-46-J.WEEKS, HOLDER-6-T.TOWNSEND.","HOU","15-K.FAIRBAIRN","GOOD",15,33,3
"36",2024121512,"2024-12-15","(6:25) 5-J.MYERS 45 YARD FIELD GOAL IS GOOD, CENTER-41-C.STOLL, HOLDER-4-M.DICKSON.","SEA","5-J.MYERS","GOOD",26,45,34
"37",2024121512,"2024-12-15","(:04) 17-B.MCMANUS 21 YARD FIELD GOAL IS GOOD, CENTER-42-M.ORZECH, HOLDER-19-D.WHELAN.","GB","17-B.MCMANUS","GOOD",3,21,7
"38",2024121512,"2024-12-15","(9:25) 17-B.MCMANUS 39 YARD FIELD GOAL IS GOOD, CENTER-42-M.ORZECH, HOLDER-19-D.WHELAN.","GB","17-B.MCMANUS","GOOD",20,39,7
"39",2024122203,"2024-12-22","(6:07) 2-T.BASS 50 YARD FIELD GOAL IS GOOD, CENTER-69-R.FERGUSON, HOLDER-8-S.MARTIN.","BUF","2-T.BASS","GOOD",32,50,12
"40",2024122202,"2024-12-22","(10:50) 37-R.PATTERSON 37 YARD FIELD GOAL IS GOOD, CENTER-49-L.MCCULLOUGH, HOLDER-13-B.PINION.","ATL","37-R.PATTERSON","GOOD",18,37,19
"41",2024121511,"2024-12-15","(10:00) 4-J.ELLIOTT 34 YARD FIELD GOAL IS GOOD, CENTER-49-R.LOVATO, HOLDER-10-B.MANN.","PHI","4-J.ELLIOTT","GOOD",16,34,25
"42",2024121600,"2024-12-16","(7:05) 8-C.SANTOS 29 YARD FIELD GOAL IS GOOD, CENTER-46-S.DALY, HOLDER-19-T.TAYLOR.","CHI","8-C.SANTOS","GOOD",11,29,43
"43",2024122100,"2024-12-21","(11:56) 15-K.FAIRBAIRN 38 YARD FIELD GOAL IS GOOD, CENTER-46-J.WEEKS, HOLDER-6-T.TOWNSEND.","HOU","15-K.FAIRBAIRN","GOOD",20,38,3
"44",2024122100,"2024-12-21","(:24) 7-H.BUTKER 44 YARD FIELD GOAL IS GOOD, CENTER-41-J.WINCHESTER, HOLDER-14-M.ARAIZA.","KC","7-H.BUTKER","GOOD",26,44,39
"45",2024121512,"2024-12-15","(1:39) 17-B.MCMANUS 23 YARD FIELD GOAL IS GOOD, CENTER-42-M.ORZECH, HOLDER-19-D.WHELAN.","GB","17-B.MCMANUS","GOOD",5,23,7
"46",2024122205,"2024-12-22","(6:07) 8-C.SANTOS 30 YARD FIELD GOAL IS GOOD, CENTER-46-S.DALY, HOLDER-19-T.TAYLOR.","CHI","8-C.SANTOS","GOOD",12,30,43
"47",2024121600,"2024-12-16","(12:09) 16-W.REICHARD 52 YARD FIELD GOAL IS GOOD, CENTER-42-A.DEPAOLA, HOLDER-17-R.WRIGHT.","MIN","16-W.REICHARD","GOOD",34,52,5
"48",2024121508,"2024-12-15","(:10) 7-M.GAY 49 YARD FIELD GOAL IS GOOD, CENTER-46-L.RHODES, HOLDER-8-R.SANCHEZ.","IND","7-M.GAY","GOOD",32,49,41
"49",2024121504,"2024-12-15","(15:00) 46-G.JOSEPH 41 YARD FIELD GOAL IS GOOD, CENTER-69-T.OTT, HOLDER-10-T.WAY.","WAS","46-G.JOSEPH","GOOD",23,41,31
"50",2024121503,"2024-12-15","(1:56) 39-C.LITTLE 43 YARD FIELD GOAL IS GOOD, CENTER-46-R.MATISCIK, HOLDER-9-L.COOKE.","JAX","39-C.LITTLE","GOOD",25,43,21
"51",2024121502,"2024-12-15","(:03) 15-K.FAIRBAIRN 23 YARD FIELD GOAL IS GOOD, CENTER-46-J.WEEKS, HOLDER-6-T.TOWNSEND.","HOU","15-K.FAIRBAIRN","GOOD",5,23,3
"52",2024121502,"2024-12-15","(2:00) 7-J.SANDERS 36 YARD FIELD GOAL IS GOOD, CENTER-46-Z.TRINER, HOLDER-16-J.BAILEY.","MIA","7-J.SANDERS","GOOD",18,36,40
"53",2024121901,"2024-12-19","(:00) 11-C.DICKER 57 YARD FIELD GOAL IS GOOD, HOLDER-16-J.SCOTT. FAIR-CATCH KICK.","LAC","11-C.DICKER","GOOD",47,57,1
"54",2024121503,"2024-12-15","(2:44) 39-C.LITTLE 28 YARD FIELD GOAL IS GOOD, CENTER-46-R.MATISCIK, HOLDER-9-L.COOKE.","JAX","39-C.LITTLE","GOOD",10,28,21
"55",2024121503,"2024-12-15","(:01) 39-C.LITTLE 23 YARD FIELD GOAL IS GOOD, CENTER-46-R.MATISCIK, HOLDER-9-L.COOKE.","JAX","39-C.LITTLE","GOOD",5,23,21
"56",2024121500,"2024-12-15","(4:09) 17-B.AUBREY 52 YARD FIELD GOAL IS GOOD, CENTER-44-T.SIEG, HOLDER-5-B.ANGER.","DAL","17-B.AUBREY","GOOD",34,52,6
"57",2024121200,"2024-12-12","(13:41) 16-J.KARTY 23 YARD FIELD GOAL IS GOOD, CENTER-47-A.WARD, HOLDER-42-E.EVANS.","LA","16-J.KARTY","GOOD",5,23,4
"58",2024121200,"2024-12-12","(8:28) 4-J.MOODY 47 YARD FIELD GOAL IS GOOD, CENTER-46-T.PEPPER, HOLDER-40-P.O'DONNELL.","SF","4-J.MOODY","GOOD",29,47,26
"59",2024121200,"2024-12-12","(1:10) 16-J.KARTY 48 YARD FIELD GOAL IS GOOD, CENTER-47-A.WARD, HOLDER-42-E.EVANS.","LA","16-J.KARTY","GOOD",30,48,4
"60",2024120900,"2024-12-09","(10:28) 3-C.YORK 29 YARD FIELD GOAL IS GOOD, CENTER-48-C.ADOMITIS, HOLDER-8-R.REHKOW.","CIN","3-C.YORK","GOOD",10,29,14
"61",2024121601,"2024-12-16","(13:31) 6-Y.KOO 48 YARD FIELD GOAL IS GOOD, CENTER-49-L.MCCULLOUGH, HOLDER-13-B.PINION.","ATL","6-Y.KOO","GOOD",30,48,37
"62",2024121507,"2024-12-15","(2:06) 13-J.SLYE 50 YARD FIELD GOAL IS GOOD, CENTER-49-J.CARDONA, HOLDER-17-B.BARINGER.","NE","13-J.SLYE","GOOD",32,50,2
"63",2024121507,"2024-12-15","(7:18) 38-C.RYLAND 49 YARD FIELD GOAL IS GOOD, CENTER-46-A.BREWER, HOLDER-10-M.PALARDY.","ARI","38-C.RYLAND","GOOD",31,49,20
"64",2024121510,"2024-12-15","(8:51) 11-C.DICKER 41 YARD FIELD GOAL IS GOOD, CENTER-47-J.HARRIS, HOLDER-16-J.SCOTT.","LAC","11-C.DICKER","GOOD",23,41,1
"65",2024120810,"2024-12-08","(7:51) 49-M.WRIGHT 33 YARD FIELD GOAL IS GOOD, CENTER-41-J.WINCHESTER, HOLDER-14-M.ARAIZA.","KC","49-M.WRIGHT","GOOD",15,33,33
"66",2024120806,"2024-12-08","(4:35) 6-N.FOLK 39 YARD FIELD GOAL IS GOOD, CENTER-46-M.COX, HOLDER-4-R.STONEHOUSE.","TEN","6-N.FOLK","GOOD",21,39,36
"67",2024121509,"2024-12-15","(14:06) 2-T.BASS 50 YARD FIELD GOAL IS GOOD, CENTER-69-R.FERGUSON, HOLDER-8-S.MARTIN.","BUF","2-T.BASS","GOOD",32,50,12
"68",2024121507,"2024-12-15","(10:44) 13-J.SLYE 53 YARD FIELD GOAL IS NO GOOD, WIDE LEFT, CENTER-49-J.CARDONA, HOLDER-17-B.BARINGER.","NE","13-J.SLYE","WIDE LEFT",34,53,2
"69",2024121500,"2024-12-15","(6:12) 17-B.AUBREY 41 YARD FIELD GOAL IS GOOD, CENTER-44-T.SIEG, HOLDER-5-B.ANGER.","DAL","17-B.AUBREY","GOOD",23,41,6
"70",2024121500,"2024-12-15","(14:16) 17-B.AUBREY 45 YARD FIELD GOAL IS GOOD, CENTER-44-T.SIEG, HOLDER-5-B.ANGER.","DAL","17-B.AUBREY","GOOD",27,45,6
"71",2024120107,"2024-12-01","(:07) 4-E.PINEIRO 27 YARD FIELD GOAL IS GOOD, CENTER-44-J.JANSEN, HOLDER-10-J.HEKKER.","CAR","4-E.PINEIRO","GOOD",8,27,24
"72",2024120109,"2024-12-01","(1:07) 4-J.ELLIOTT 35 YARD FIELD GOAL IS GOOD, CENTER-49-R.LOVATO, HOLDER-10-B.MANN.","PHI","4-J.ELLIOTT","GOOD",17,35,25
"73",2024120109,"2024-12-01","(1:26) 9-J.TUCKER 53 YARD FIELD GOAL IS NO GOOD, WIDE RIGHT, CENTER-46-N.MOORE, HOLDER-11-J.STOUT.","BAL","9-J.TUCKER","WIDE RIGHT",35,53,47
"74",2024120104,"2024-12-01","(9:15) 13-J.SLYE 35 YARD FIELD GOAL IS GOOD, CENTER-49-J.CARDONA, HOLDER-17-B.BARINGER.","NE","13-J.SLYE","GOOD",16,35,2
"75",2024120103,"2024-12-01","(6:05) 38-C.RYLAND 31 YARD FIELD GOAL IS GOOD, CENTER-46-A.BREWER, HOLDER-12-B.GILLIKIN.","ARI","38-C.RYLAND","GOOD",13,31,20
"76",2024120103,"2024-12-01","(14:22) 38-C.RYLAND 45 YARD FIELD GOAL IS NO GOOD, WIDE RIGHT, CENTER-46-A.BREWER, HOLDER-12-B.GILLIKIN.","ARI","38-C.RYLAND","WIDE RIGHT",27,45,20
"77",2024120103,"2024-12-01","(8:38) 38-C.RYLAND 40 YARD FIELD GOAL IS GOOD, CENTER-46-A.BREWER, HOLDER-12-B.GILLIKIN.","ARI","38-C.RYLAND","GOOD",22,40,20
"78",2024112900,"2024-11-29","(4:34) 2-D.CARLSON 55 YARD FIELD GOAL IS NO GOOD, WIDE LEFT, CENTER-50-J.BOBENMOYER, HOLDER-6-A.COLE.","LV","2-D.CARLSON","WIDE LEFT",37,55,10
"79",2024120807,"2024-12-08","(10:56) 38-C.RYLAND 28 YARD FIELD GOAL IS GOOD, CENTER-46-A.BREWER, HOLDER-12-B.GILLIKIN.","ARI","38-C.RYLAND","GOOD",9,28,20
"80",2024120810,"2024-12-08","(10:10) 49-M.WRIGHT 47 YARD FIELD GOAL IS GOOD, CENTER-41-J.WINCHESTER, HOLDER-14-M.ARAIZA.","KC","49-M.WRIGHT","GOOD",29,47,33
"81",2024120809,"2024-12-08","(1:53) 4-J.MOODY 23 YARD FIELD GOAL IS GOOD, CENTER-46-T.PEPPER, HOLDER-40-P.O'DONNELL.","SF","4-J.MOODY","GOOD",5,23,26
