"","OffenseTeam","Kicker","id","n","raw mean","av dist"
"1","ARI","38-C.RYLAND",20,31,0.903225806451613,38.1935483870968
"2","ARI","5-M.PRATER",35,6,1,42
"3","ATL","37-R.PATTERSON",19,6,0.666666666666667,42.3333333333333
"4","ATL","6-Y.KOO",37,32,0.78125,40.3125
"5","BAL","9-J.TUCKER",47,32,0.75,42.4375
"6","BUF","2-T.BASS",12,35,0.857142857142857,38.8
"7","CAR","4-E.PINEIRO",24,26,0.846153846153846,37.0769230769231
"8","CHI","8-C.SANTOS",43,21,1,42.4285714285714
"9","CIN","2-E.MCPHERSON",11,22,0.727272727272727,40.8181818181818
"10","CIN","3-C.YORK",14,11,0.818181818181818,34.6363636363636
"11","CLE","7-D.HOPKINS",38,26,0.692307692307692,41.5769230769231
"12","DAL","17-B.AUBREY",6,44,0.909090909090909,44.6136363636364
"13","DEN","3-W.LUTZ",16,33,0.939393939393939,40.969696969697
"14","DET","39-J.BATES",22,29,0.931034482758621,40.3448275862069
"15","GB","17-B.MCMANUS",7,23,0.91304347826087,36.0869565217391
"16","GB","44-B.NARVESON",30,17,0.705882352941177,37.4705882352941
"17","HOU","15-K.FAIRBAIRN",3,48,0.854166666666667,41.2083333333333
"18","IND","7-M.GAY",41,37,0.837837837837838,39.0810810810811
"19","JAX","39-C.LITTLE",21,29,0.931034482758621,38.4137931034483
"20","KC","40-S.SHRADER",28,3,1,32.3333333333333
"21","KC","49-M.WRIGHT",33,8,1,36.875
"22","KC","7-H.BUTKER",39,28,0.892857142857143,34.5714285714286
"23","LA","16-J.KARTY",4,38,0.868421052631579,37.6315789473684
"24","LAC","11-C.DICKER",1,44,0.931818181818182,39.6136363636364
"25","LV","2-D.CARLSON",10,38,0.894736842105263,39.1052631578947
"26","MIA","7-J.SANDERS",40,41,0.902439024390244,41.2682926829268
"27","MIN","16-W.REICHARD",5,30,0.833333333333333,41.2333333333333
"28","MIN","96-J.ROMO",48,12,0.916666666666667,37.4166666666667
"29","NE","13-J.SLYE",2,31,0.838709677419355,39.1935483870968
"30","NO","19-B.GRUPE",9,30,0.9,40.9333333333333
"31","NYG","34-G.JOSEPH",17,16,0.8125,39.125
"32","NYG","9-G.GANO",45,10,0.9,40.2
"33","NYG","99-J.MCATAMNEY",49,1,1,31
"34","NYJ","18-A.CARLSON",8,10,0.8,39.4
"35","NYJ","40-G.JOSEPH",27,1,1,20
"36","NYJ","40-S.SHRADER",28,2,1,35
"37","NYJ","9-G.ZUERLEIN",46,14,0.642857142857143,35
"38","PHI","4-J.ELLIOTT",25,41,0.829268292682927,37.1951219512195
"39","PIT","9-C.BOSWELL",44,43,0.953488372093023,40.8837209302326
"40","SEA","5-J.MYERS",34,27,0.962962962962963,43.037037037037
"41","SF","3-M.WISHNOWSKY",15,1,1,26
"42","SF","35-M.WRIGHT",18,3,1,33.6666666666667
"43","SF","4-J.MOODY",26,32,0.75,38.71875
"44","SF","41-A.CARLSON",29,5,1,42.8
"45","TB","4-C.MCLAUGHLIN",23,34,0.941176470588235,37.9705882352941
"46","TEN","6-N.FOLK",36,22,0.954545454545455,41.1363636363636
"47","TEN","7-M.WRIGHT",42,4,1,35
"48","WAS","3-A.SEIBERT",13,27,1,35.2592592592593
"49","WAS","3-C.YORK",14,2,0,51.5
"50","WAS","46-G.JOSEPH",31,3,0.666666666666667,39.3333333333333
"51","WAS","47-Z.GONZALEZ",32,15,0.8,42.2666666666667
