"","par","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"1","sigma",0.0481739526317795,6.23701452158666e-05,0.00199418618903556,0.0440686497160579,0.0468772525515497,0.0482793753161908,0.0495603783713066,0.0517899567023187,1022.29891041447,1.0025246055073
"2","nu",35.5226791800401,0.945706600456127,34.6468429350846,7.53884954186735,15.1940188623132,24.6983372156642,43.0192509198889,124.8700486209,1342.19153123746,1.00190005636429
"3","pr[1]",0.999999996095684,1.47186668387507e-09,6.27479733129909e-08,0.999999993101455,0.999999999999961,1,1,1,1817.44993510767,1.00073881388167
"4","pr[2]",0.999999986221393,4.45840926939932e-09,1.86780331229006e-07,0.999999961624005,0.99999999999875,1,1,1,1755.10222378349,1.00072791540403
"5","pr[3]",0.999999953170733,1.29217253370814e-08,5.30264528002175e-07,0.999999809388397,0.999999999969467,0.999999999999992,1,1,1684.00796402144,1.00075974221571
"6","pr[4]",0.999999854862366,3.42188717112575e-08,1.37143662109218e-06,0.999999209631311,0.99999999949132,0.999999999999376,1,1,1606.27578792364,1.00085104692802
"7","pr[5]",0.999999592600893,8.2466416321159e-08,3.21626556160747e-06,0.999997212002077,0.99999999424201,0.99999999997457,0.999999999999977,1,1521.07124627795,1.00100331830421
"8","pr[6]",0.999998952799002,1.82289172247912e-07,6.91007636225291e-06,0.999991657799426,0.999999954371648,0.999999999434175,0.999999999997362,1,1436.95758026213,1.00120333585416
"9","pr[7]",0.999997498704921,3.74053324635065e-07,1.37817503039561e-05,0.999978525035024,0.999999736050709,0.999999992442769,0.999999999879435,0.99999999999991,1357.50586933214,1.00142866124899
"10","pr[8]",0.999994373835095,7.202234512106e-07,2.58268418409977e-05,0.999950474075922,0.999998842927791,0.999999932786648,0.99999999727754,0.999999999984829,1285.90264411759,1.00165528412374
"11","pr[9]",0.999987953144415,1.31224911828082e-06,4.59297262104368e-05,0.999895486313887,0.999995686496352,0.999999564377409,0.999999965357466,0.999999999302354,1225.05372129,1.00186475633675
"12","pr[10]",0.999975240235947,2.26889926584751e-06,7.81027915101942e-05,0.999801539770318,0.99998656836147,0.99999794120625,0.999999716219917,0.999999984564044,1184.95725358944,1.00204802614507
"13","pr[11]",0.999950869209245,3.72532777113044e-06,0.000127669792904936,0.999634326236366,0.99996361406272,0.999992192192243,0.999998348772449,0.999999832645906,1174.48460348421,1.00220413424281
"14","pr[12]",0.999905579954178,5.86746648386879e-06,0.000201241743605329,0.999367899458403,0.999913038634549,0.999975524826337,0.99999288982574,0.999998798124578,1176.345533923,1.00233493885098
"15","pr[13]",0.999824192044196,8.87300847880352e-06,0.000306282347167559,0.998982251394979,0.999815011828968,0.999934826284099,0.999975610890372,0.999994127729326,1191.52220497666,1.00244022546611
"16","pr[14]",0.999683432874315,1.28874325892513e-05,0.00045014724588978,0.998426428134634,0.999634597479388,0.999845569625525,0.999931276938541,0.999978195280263,1220.04649470808,1.00251678174291
"17","pr[15]",0.999450304260518,1.79848331735238e-05,0.000638747951028752,0.997660328325848,0.99933225086518,0.999675571842901,0.999832556619014,0.999934217454487,1261.38078997817,1.0025607296718
"18","pr[16]",0.999081720304307,2.41369732575554e-05,0.000875272225513605,0.996634736446518,0.998864193874611,0.999374556228856,0.999636998476817,0.999835187173574,1314.98462931347,1.00256997140767
"19","pr[17]",0.998525820904183,3.12024571710344e-05,0.00115944203247525,0.995316792426114,0.99815956414401,0.998887769729923,0.999292509825534,0.999641666123368,1380.76728794303,1.00254495607676
"20","pr[18]",0.997724842149229,3.89405661906247e-05,0.00148755861611477,0.993689356970295,0.99717478326023,0.99814649551902,0.998732339768963,0.999304262863947,1459.29687325454,1.00248811751544
"21","pr[19]",0.996618988162173,4.70455182431575e-05,0.00185325504724562,0.991766612149519,0.995858433546184,0.997102921570745,0.997899035490594,0.998754203197853,1551.79328835087,1.00240299573661
"22","pr[20]",0.995150566825676,5.51914268681049e-05,0.0022486530109621,0.989377653284833,0.99414460586976,0.995706068952713,0.996724403694005,0.997944586855485,1659.97537440901,1.00229363331533
"23","pr[21]",0.993267721954514,6.30774881026946e-05,0.00266557294707744,0.986524604050516,0.992014983224142,0.993858731799399,0.995144486627294,0.996790602353819,1785.79812845277,1.00216433285622
"24","pr[22]",0.990927313467483,7.04825317994732e-05,0.00309652858125584,0.983208631240249,0.989364624045122,0.991549249061227,0.993130524443088,0.99525475335768,1930.1328130592,1.00201963386203
"25","pr[23]",0.98809674991284,7.7313370895623e-05,0.00353536768593899,0.979505717266705,0.986213952735103,0.988725390012139,0.990595895081825,0.993261793828088,2091.0285276976,1.0018643434131
"26","pr[24]",0.984754787425103,8.36671129050452e-05,0.00397754007711115,0.975386619824708,0.982550569093827,0.985407217333071,0.987575700615362,0.990835989306611,2260.05788389362,1.00170350778111
"27","pr[25]",0.980891445080038,8.95576080203064e-05,0.0044200540499105,0.970807531654494,0.97837732949216,0.981516332711632,0.984037048450012,0.987873469763902,2435.8480266955,1.00154227622276
"28","pr[26]",0.976507250627975,9.49716648456361e-05,0.00486122076087427,0.965699028526497,0.97362694025678,0.977076610961728,0.979957803665336,0.98442144943018,2620.00780767612,1.00138566284508
"29","pr[27]",0.971612040352287,0.000100084840527758,0.00530029139267812,0.960060746101082,0.968380504273254,0.972131410983643,0.975373415532467,0.980439616733286,2804.54807925651,1.00123825123192
"30","pr[28]",0.966223513169404,0.000105110909933362,0.00573707625835056,0.953872990507364,0.962600758917721,0.966690435205016,0.970287493169982,0.976039914259449,2979.103925839,1.00110390546182
"31","pr[29]",0.960365699637686,0.000110273967028402,0.00617160911022681,0.947415289813261,0.956434205768105,0.960839599768463,0.964698017390835,0.971096392770554,3132.20967218868,1.00098554861913
"32","pr[30]",0.954067463489255,0.000115780939716103,0.00660389206144262,0.940233180115979,0.949830275571962,0.954524734664525,0.958692762426638,0.965688616478082,3253.31257780823,1.00088504952037
"33","pr[31]",0.947361113800809,0.000121798600429954,0.00703373223079034,0.932900194285659,0.942815678672642,0.947820609206367,0.952256986635491,0.959839013020352,3334.93263904482,1.00080322907716
"34","pr[32]",0.940281173316335,0.000128438633445794,0.00746066347126384,0.924875097852783,0.935407705821512,0.940655649824775,0.945433235083958,0.953651420975634,3374.14350145252,1.00073997023472
"35","pr[33]",0.932863323584537,0.000135835545397367,0.00788393613503772,0.91673156851755,0.927641455008044,0.933236888977526,0.938357001030864,0.947114935960833,3368.67670567921,1.00069439775424
"36","pr[34]",0.925143529941533,0.000143892768058789,0.0083025539245771,0.908052908543475,0.919574405988411,0.925516984217929,0.930936098098026,0.940136593017065,3329.24284946728,1.00066508889436
"37","pr[35]",0.917157337783728,0.000152431420930756,0.00871533771805443,0.899010145887249,0.91127604150083,0.917520810068395,0.923248891826782,0.932827543502175,3269.03405732409,1.00065028105306
"38","pr[36]",0.908939324696538,0.000161473953818381,0.00912099984611272,0.890153333378464,0.90285848887836,0.909330480828516,0.915325439220338,0.92552311005241,3190.65566615056,1.0006480529692
"39","pr[37]",0.900522689574798,0.000171043646215595,0.00951821692560624,0.881079771855793,0.89415218254896,0.900976648934278,0.907166762023477,0.917854516899974,3096.68695597916,1.00065646757433
"40","pr[38]",0.891938958829148,0.000180935293084462,0.00990569383911569,0.871748429629967,0.885419493763994,0.892400768245261,0.898862740286004,0.910241452815101,2997.2517695075,1.00067367402921
"41","pr[39]",0.883217790283737,0.000191038231665429,0.0102822151440949,0.86241393160404,0.876440850748568,0.88363292172385,0.89034079558341,0.902131439176412,2896.89526984555,1.00069797269303
"42","pr[40]",0.874386856810652,0.000201247689936623,0.010646682885373,0.852919948911029,0.867366549704949,0.874734448906504,0.881707430133594,0.8940151426684,2798.76754735694,1.00072784989529
"43","pr[41]",0.865471793671304,0.000211468240782457,0.0109981415203075,0.843294740259396,0.858211030482298,0.865791112613498,0.873006796463423,0.885762885028301,2704.881868418,1.00076199019049
