"","invested","Decision","Return","ID"
"1",0,1,2,2
"2",0,2,2.4,2
"3",0.05,3,2.6,2
"4",0.05,4,2.8,2
"5",0.1,5,3,2
"6",0.1,6,3.2,2
"7",0.1,7,3.4,2
"8",0.15,8,3.6,2
"9",0.15,9,3.8,2
"10",0.25,10,4,2
"11",0,1,2,3
"12",0,2,2.4,3
"13",0,3,2.6,3
"14",0,4,2.8,3
"15",0.25,5,3,3
"16",0.25,6,3.2,3
"17",0.25,7,3.4,3
"18",0.25,8,3.6,3
"19",0.25,9,3.8,3
"20",0.25,10,4,3
"21",0.15,1,2,7
"22",0,2,2.4,7
"23",0.25,3,2.6,7
"24",0.2,4,2.8,7
"25",0.05,5,3,7
"26",0.02,6,3.2,7
"27",0.25,7,3.4,7
"28",0.25,8,3.6,7
"29",0.25,9,3.8,7
"30",0.25,10,4,7
"31",0,1,2,6
"32",0.1,2,2.4,6
"33",0.11,3,2.6,6
"34",0.12,4,2.8,6
"35",0.13,5,3,6
"36",0.14,6,3.2,6
"37",0.15,7,3.4,6
"38",0.16,8,3.6,6
"39",0.17,9,3.8,6
"40",0.25,10,4,6
"41",0,1,2,1
"42",0,2,2.4,1
"43",0.05,3,2.6,1
"44",0.05,4,2.8,1
"45",0.05,5,3,1
"46",0.1,6,3.2,1
"47",0.1,7,3.4,1
"48",0.25,8,3.6,1
"49",0.25,9,3.8,1
"50",0.25,10,4,1
"51",0.25,1,2,4
"52",0.25,2,2.4,4
"53",0.25,3,2.6,4
"54",0.25,4,2.8,4
"55",0.25,5,3,4
"56",0.25,6,3.2,4
"57",0.25,7,3.4,4
"58",0.25,8,3.6,4
"59",0.25,9,3.8,4
"60",0.25,10,4,4
"61",0.25,1,2,5
"62",0.25,2,2.4,5
"63",0.25,3,2.6,5
"64",0.25,4,2.8,5
"65",0.25,5,3,5
"66",0.25,6,3.2,5
"67",0.25,7,3.4,5
"68",0.25,8,3.6,5
"69",0.25,9,3.8,5
"70",0.25,10,4,5
