"","parameter","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","slice"
"1","r",-0.0626240061758501,0.00570480529569546,0.137317826785457,-0.351179429430028,-0.149465404305131,-0.0563473105615396,0.0337633158683744,0.186538247195929,579.391593967265,1.00596964815699,"All data"
"2","lambda",0.172960307577874,0.00445846597607303,0.111941826117079,0.0381771995917247,0.0940799383936049,0.14599727654454,0.22103619304089,0.465663952633318,630.396598497433,1.00634828939161,"All data"
"3","prediction[1]",13.6737613797537,0.0143421851626165,0.423973233373442,12.7551251077086,13.4096200683985,13.7032283463645,13.9652619711456,14.4451292579742,873.868788683187,1.00404845855247,"All data"
"4","prediction[2]",15.6626023637912,0.0113404901015992,0.53181695075437,14.6160081764255,15.2971895171173,15.656724489729,16.0164402100489,16.6890652733302,2199.17962660391,1.00078837675677,"All data"
"5","prediction[3]",16.5733220331783,0.0115280496148857,0.607701672670575,15.3594175693652,16.1596656626468,16.569801373068,16.9782124647683,17.7249893638116,2778.87613817519,1.00033959060069,"All data"
"6","prediction[4]",17.4101031297559,0.0120928867339926,0.669443389419046,16.074876102908,16.9654218557399,17.4088059300769,17.8639981303677,18.6562493000566,3064.55728874726,1.00019286919808,"All data"
"7","prediction[5]",18.1670607011509,0.0126116986621633,0.711600965785417,16.732737515339,17.7002500911817,18.1774126083613,18.6565737697054,19.4747325991673,3183.65417945189,1.0001662473376,"All data"
"8","prediction[6]",18.8434975252808,0.0129683198564434,0.734659967094556,17.3439134704683,18.3660690159265,18.8629882155624,19.3502462941544,20.1622232945877,3209.26310144214,1.00019463851994,"All data"
"9","prediction[7]",19.4425510042228,0.0131764170570575,0.741633759307797,17.9169627132297,18.9648513734682,19.4707419865068,19.9575206222463,20.7537454593021,3167.99375176953,1.000254773185,"All data"
"10","prediction[8]",19.96982930826,0.0132438493250615,0.73626266970913,18.4284192315236,19.5030305096845,20.0077468352494,20.4847008774367,21.2591036011963,3090.55943661319,1.00033717350841,"All data"
"11","prediction[9]",20.4322542486762,0.013198011247797,0.722113880036813,18.8966984132209,19.9809643985455,20.4732358995874,20.9417772123634,21.6764674134404,2993.60432325298,1.00043658922644,"All data"
"12","prediction[10]",20.8371922363877,0.0130751464470847,0.702196185458617,19.3219918780044,20.4043441475559,20.8815389556163,21.3327001218857,22.0290675395442,2884.18961086209,1.00054890231311,"All data"
"13","prediction[11]",13.6737613797537,0.0143421851626165,0.423973233373442,12.7551251077086,13.4096200683985,13.7032283463645,13.9652619711456,14.4451292579742,873.868788683187,1.00404845855247,"All data"
"14","prediction[12]",15.6626023637912,0.0113404901015992,0.53181695075437,14.6160081764255,15.2971895171173,15.656724489729,16.0164402100489,16.6890652733302,2199.17962660391,1.00078837675677,"All data"
