"","rowname","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","r","N2"
"1","CEchoices[1]",1,NA,0,1,1,1,1,1,NA,NA,0,1
"2","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0,1
"3","CEchoices[3]",0.40266,0.0119832798415137,1.4000324742471,-1,-1,1.8,1.8,1.8,13649.753736593,0.999964730138222,0,1
"4","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0,1
"5","CEchoices[1]",1,NA,0,1,1,1,1,1,NA,NA,0,2
"6","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0,2
"7","CEchoices[3]",0.60065,0.0146914544436892,1.62292984215696,-1,-1,0,3,3,12203.0925935158,0.999951799402455,0,2
"8","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0,2
"9","CEchoices[1]",1,NA,0,1,1,1,1,1,NA,NA,0,3
"10","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0,3
"11","CEchoices[3]",0.6716,0.0180036641007026,1.88869168675311,-1,-1,1.28571428571428,1.28571428571428,3.85714285714286,11005.2606853547,0.999866465141414,0,3
"12","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0,3
"13","CEchoices[1]",1,NA,0,1,1,1,1,1,NA,NA,0,4
"14","CEchoices[2]",0,NA,0,0,0,0,0,0,NA,NA,0,4
"15","CEchoices[3]",0.8023375,0.0191915838448269,1.96489680443181,-1,-1,0,2.25,4.5,10482.3307101338,0.999985705618818,0,4
"16","lp__",-3.32917256623241,0.00810850079461287,0.770862057562528,-5.51882159301363,-3.52218573840409,-3.02719475066561,-2.82675794308343,-2.77312377766804,9037.99741022788,1.00019905402834,0,4
"17","CEchoices[1]",1,NA,0,1,1,1,1,1,NA,NA,0,5
