"","r","lambda","u[1]","u[2]","u[3]","choicePR","REPORT[1]","REPORT[2]","REPORT[3]","REPORT[4]","REPORT[5]","REPORT[6]","REPORT[7]","REPORT[8]","REPORT[9]","REPORT[10]","REPORT[11]","REPORT[12]","REPORT[13]","REPORT[14]","REPORT[15]","REPORT[16]","REPORT[17]","REPORT[18]","REPORT[19]","REPORT[20]","REPORT[21]","REPORT[22]","REPORT[23]","REPORT[24]","REPORT[25]","REPORT[26]","REPORT[27]","REPORT[28]","REPORT[29]","REPORT[30]","REPORT[31]","REPORT[32]","REPORT[33]","REPORT[34]","REPORT[35]","REPORT[36]","REPORT[37]","REPORT[38]","REPORT[39]","REPORT[40]","REPORT[41]","REPORT[42]","REPORT[43]","REPORT[44]","REPORT[45]","REPORT[46]","REPORT[47]","REPORT[48]","REPORT[49]","REPORT[50]","REPORT[51]","REPORT[52]","REPORT[53]","REPORT[54]","REPORT[55]","REPORT[56]","REPORT[57]","REPORT[58]","REPORT[59]","REPORT[60]","REPORT[61]","REPORT[62]","REPORT[63]","REPORT[64]","REPORT[65]","REPORT[66]","REPORT[67]","REPORT[68]","REPORT[69]","REPORT[70]","REPORT[71]","REPORT[72]","REPORT[73]","REPORT[74]","REPORT[75]","REPORT[76]","REPORT[77]","REPORT[78]","REPORT[79]","REPORT[80]","REPORT[81]","REPORT[82]","REPORT[83]","REPORT[84]","REPORT[85]","REPORT[86]","REPORT[87]","REPORT[88]","REPORT[89]","REPORT[90]","REPORT[91]","REPORT[92]","REPORT[93]","REPORT[94]","REPORT[95]","REPORT[96]","REPORT[97]","REPORT[98]","REPORT[99]","lp__"
"1",0.280936674645556,21.6520666082396,-0.617079191800404,0.052701482601341,0.382920808199596,0.975303868510383,0.0366,0.059,0.0777,0.0944,0.1096,0.1237,0.137,0.1496,0.1616,0.1731,0.1843,0.195,0.2054,0.2156,0.2254,0.2351,0.2445,0.2537,0.2627,0.2716,0.2803,0.2889,0.2974,0.3057,0.3139,0.3221,0.3301,0.338,0.3459,0.3537,0.3614,0.369,0.3766,0.3841,0.3916,0.3991,0.4064,0.4138,0.4211,0.4284,0.4356,0.4428,0.45,0.4572,0.4644,0.4715,0.4786,0.4858,0.4929,0.5,0.5071,0.5142,0.5214,0.5285,0.5356,0.5428,0.55,0.5572,0.5644,0.5716,0.5789,0.5862,0.5936,0.6009,0.6084,0.6159,0.6234,0.631,0.6386,0.6463,0.6541,0.662,0.6699,0.6779,0.6861,0.6943,0.7026,0.7111,0.7197,0.7284,0.7373,0.7463,0.7555,0.7649,0.7746,0.7844,0.7946,0.805,0.8157,0.8269,0.8384,0.8504,0.863,0.8763,0.8904,0.9056,0.9223,0.941,0.9634,-44.7969205816864
"2",0.252108596209965,21.6819813914806,-0.610875502782967,0.0530390248568795,0.389124497217033,0.972185569647971,0.0333,0.0545,0.0725,0.0886,0.1035,0.1174,0.1305,0.143,0.1549,0.1664,0.1775,0.1883,0.1988,0.209,0.2189,0.2286,0.2382,0.2475,0.2567,0.2657,0.2746,0.2833,0.2919,0.3004,0.3088,0.3171,0.3253,0.3335,0.3415,0.3495,0.3574,0.3652,0.373,0.3807,0.3884,0.3961,0.4037,0.4112,0.4187,0.4262,0.4337,0.4411,0.4485,0.4559,0.4633,0.4706,0.478,0.4853,0.4927,0.5,0.5073,0.5147,0.522,0.5294,0.5367,0.5441,0.5515,0.5589,0.5663,0.5738,0.5813,0.5888,0.5963,0.6039,0.6116,0.6193,0.627,0.6348,0.6426,0.6505,0.6585,0.6665,0.6747,0.6829,0.6912,0.6996,0.7081,0.7167,0.7254,0.7343,0.7433,0.7525,0.7618,0.7714,0.7811,0.791,0.8012,0.8117,0.8225,0.8336,0.8451,0.857,0.8695,0.8826,0.8965,0.9114,0.9275,0.9455,0.9667,-44.7589998421225
"3",0.355078611244493,25.5887173344479,-0.632882370471211,0.0517907168195923,0.367117629528789,0.99121205355111,0.0457,0.0709,0.0912,0.1089,0.1249,0.1395,0.1531,0.1659,0.178,0.1896,0.2006,0.2112,0.2215,0.2314,0.241,0.2504,0.2595,0.2684,0.2771,0.2856,0.294,0.3022,0.3102,0.3182,0.326,0.3337,0.3413,0.3488,0.3562,0.3635,0.3707,0.3779,0.385,0.3921,0.3991,0.406,0.4129,0.4198,0.4266,0.4334,0.4401,0.4468,0.4535,0.4602,0.4669,0.4735,0.4801,0.4868,0.4934,0.5,0.5066,0.5132,0.5199,0.5265,0.5331,0.5398,0.5465,0.5532,0.5599,0.5666,0.5734,0.5802,0.5871,0.594,0.6009,0.6079,0.615,0.6221,0.6293,0.6365,0.6438,0.6512,0.6587,0.6663,0.674,0.6818,0.6898,0.6978,0.706,0.7144,0.7229,0.7316,0.7405,0.7496,0.759,0.7686,0.7785,0.7888,0.7994,0.8104,0.822,0.8341,0.8469,0.8605,0.8751,0.8911,0.9088,0.9291,0.9543,-44.9541021108149
"4",0.286567781495056,23.1789997080417,-0.618287296708392,0.0526344422592353,0.381712703291608,0.981326410506874,0.0373,0.0599,0.0788,0.0955,0.1107,0.1249,0.1382,0.1508,0.1629,0.1744,0.1855,0.1963,0.2067,0.2168,0.2267,0.2363,0.2457,0.2549,0.2639,0.2727,0.2814,0.29,0.2984,0.3067,0.3149,0.323,0.331,0.3389,0.3467,0.3545,0.3621,0.3697,0.3773,0.3848,0.3922,0.3996,0.407,0.4143,0.4215,0.4288,0.436,0.4432,0.4503,0.4574,0.4646,0.4717,0.4788,0.4858,0.4929,0.5,0.5071,0.5142,0.5212,0.5283,0.5354,0.5426,0.5497,0.5568,0.564,0.5712,0.5785,0.5857,0.593,0.6004,0.6078,0.6152,0.6227,0.6303,0.6379,0.6455,0.6533,0.6611,0.669,0.677,0.6851,0.6933,0.7016,0.71,0.7186,0.7273,0.7361,0.7451,0.7543,0.7637,0.7733,0.7832,0.7933,0.8037,0.8145,0.8256,0.8371,0.8492,0.8618,0.8751,0.8893,0.9045,0.9212,0.9401,0.9627,-44.6815511680939
"5",0.300338590377202,25.0056184167345,-0.621236457555565,0.0524689935892322,0.378763542444435,0.987177041862433,0.0389,0.0621,0.0813,0.0982,0.1136,0.1279,0.1413,0.1539,0.166,0.1776,0.1887,0.1994,0.2098,0.2199,0.2297,0.2392,0.2486,0.2577,0.2667,0.2754,0.2841,0.2925,0.3009,0.3091,0.3172,0.3252,0.3332,0.341,0.3487,0.3564,0.364,0.3715,0.3789,0.3863,0.3937,0.401,0.4082,0.4154,0.4226,0.4297,0.4369,0.4439,0.451,0.458,0.4651,0.4721,0.4791,0.486,0.493,0.5,0.507,0.514,0.5209,0.5279,0.5349,0.542,0.549,0.5561,0.5631,0.5703,0.5774,0.5846,0.5918,0.599,0.6063,0.6137,0.6211,0.6285,0.636,0.6436,0.6513,0.659,0.6668,0.6748,0.6828,0.6909,0.6991,0.7075,0.7159,0.7246,0.7333,0.7423,0.7514,0.7608,0.7703,0.7801,0.7902,0.8006,0.8113,0.8224,0.834,0.8461,0.8587,0.8721,0.8864,0.9018,0.9187,0.9379,0.9611,-44.6444407648101
"6",0.244098992060545,36.3471269553792,-0.609146427236479,0.0531311038864912,0.390853572763521,0.997263463784175,0.0323,0.0532,0.071,0.087,0.1018,0.1156,0.1286,0.1411,0.153,0.1645,0.1756,0.1864,0.1969,0.2071,0.2171,0.2268,0.2364,0.2457,0.255,0.264,0.2729,0.2817,0.2904,0.2989,0.3074,0.3157,0.324,0.3321,0.3402,0.3483,0.3562,0.3641,0.372,0.3798,0.3875,0.3952,0.4028,0.4105,0.418,0.4256,0.4331,0.4406,0.4481,0.4555,0.463,0.4704,0.4778,0.4852,0.4926,0.5,0.5074,0.5148,0.5222,0.5296,0.537,0.5445,0.5519,0.5594,0.5669,0.5744,0.582,0.5895,0.5972,0.6048,0.6125,0.6202,0.628,0.6359,0.6438,0.6517,0.6598,0.6679,0.676,0.6843,0.6926,0.7011,0.7096,0.7183,0.7271,0.736,0.745,0.7543,0.7636,0.7732,0.7829,0.7929,0.8031,0.8136,0.8244,0.8355,0.847,0.8589,0.8714,0.8844,0.8982,0.913,0.929,0.9468,0.9677,-44.8912975020288
"7",0.299757420158235,38.8003407793498,-0.62111214635011,0.0524760188824939,0.37888785364989,0.998813167758744,0.0389,0.062,0.0812,0.0981,0.1135,0.1278,0.1412,0.1538,0.1659,0.1774,0.1885,0.1993,0.2096,0.2197,0.2295,0.2391,0.2484,0.2576,0.2665,0.2753,0.284,0.2924,0.3008,0.309,0.3171,0.3252,0.3331,0.3409,0.3486,0.3563,0.3639,0.3714,0.3789,0.3863,0.3936,0.4009,0.4082,0.4154,0.4226,0.4297,0.4368,0.4439,0.451,0.458,0.465,0.472,0.479,0.486,0.493,0.5,0.507,0.514,0.521,0.528,0.535,0.542,0.549,0.5561,0.5632,0.5703,0.5774,0.5846,0.5918,0.5991,0.6064,0.6137,0.6211,0.6286,0.6361,0.6437,0.6514,0.6591,0.6669,0.6748,0.6829,0.691,0.6992,0.7076,0.716,0.7247,0.7335,0.7424,0.7516,0.7609,0.7705,0.7803,0.7904,0.8007,0.8115,0.8226,0.8341,0.8462,0.8588,0.8722,0.8865,0.9019,0.9188,0.938,0.9611,-45.6376703100668
"8",0.0895259084877785,38.6547815836316,-0.575380253685494,0.054755411198072,0.424619746314506,0.993506027580002,0.0168,0.0309,0.044,0.0565,0.0686,0.0804,0.0919,0.1031,0.1142,0.125,0.1357,0.1462,0.1566,0.1669,0.1771,0.1872,0.1971,0.207,0.2168,0.2266,0.2362,0.2458,0.2554,0.2649,0.2743,0.2837,0.293,0.3023,0.3115,0.3207,0.3299,0.339,0.3482,0.3572,0.3663,0.3753,0.3843,0.3933,0.4022,0.4112,0.4201,0.429,0.4379,0.4468,0.4557,0.4646,0.4734,0.4823,0.4911,0.5,0.5089,0.5177,0.5266,0.5354,0.5443,0.5532,0.5621,0.571,0.5799,0.5888,0.5978,0.6067,0.6157,0.6247,0.6337,0.6428,0.6518,0.661,0.6701,0.6793,0.6885,0.6977,0.707,0.7163,0.7257,0.7351,0.7446,0.7542,0.7638,0.7734,0.7832,0.793,0.8029,0.8128,0.8229,0.8331,0.8434,0.8538,0.8643,0.875,0.8858,0.8969,0.9081,0.9196,0.9314,0.9435,0.956,0.9691,0.9832,-45.5144681479864
"9",-0.037316806847038,38.1445478220451,-0.54725338779037,0.0558569319983626,0.45274661220963,0.980793186344097,0.0077,0.0161,0.0247,0.0336,0.0426,0.0518,0.061,0.0704,0.0798,0.0893,0.0989,0.1085,0.1182,0.128,0.1378,0.1477,0.1576,0.1676,0.1776,0.1877,0.1978,0.2079,0.2181,0.2282,0.2385,0.2487,0.259,0.2693,0.2796,0.29,0.3003,0.3107,0.3212,0.3316,0.342,0.3525,0.363,0.3735,0.384,0.3945,0.405,0.4155,0.4261,0.4366,0.4472,0.4577,0.4683,0.4789,0.4894,0.5,0.5106,0.5211,0.5317,0.5423,0.5528,0.5634,0.5739,0.5845,0.595,0.6055,0.616,0.6265,0.637,0.6475,0.658,0.6684,0.6788,0.6893,0.6997,0.71,0.7204,0.7307,0.741,0.7513,0.7615,0.7718,0.7819,0.7921,0.8022,0.8123,0.8224,0.8324,0.8424,0.8523,0.8622,0.872,0.8818,0.8915,0.9011,0.9107,0.9202,0.9296,0.939,0.9482,0.9574,0.9664,0.9753,0.9839,0.9923,-47.7065859588127
"10",0.225730825509898,34.5142562663975,-0.605172618977124,0.0533394241253499,0.394827381022876,0.995810290118999,0.0303,0.0504,0.0677,0.0834,0.0979,0.1115,0.1244,0.1368,0.1486,0.1601,0.1712,0.182,0.1925,0.2027,0.2127,0.2225,0.2322,0.2416,0.2509,0.26,0.2691,0.2779,0.2867,0.2954,0.3039,0.3124,0.3208,0.3291,0.3373,0.3454,0.3535,0.3616,0.3695,0.3775,0.3853,0.3932,0.401,0.4087,0.4164,0.4241,0.4318,0.4394,0.447,0.4546,0.4622,0.4698,0.4774,0.4849,0.4925,0.5,0.5075,0.5151,0.5226,0.5302,0.5378,0.5454,0.553,0.5606,0.5682,0.5759,0.5836,0.5913,0.599,0.6068,0.6147,0.6225,0.6305,0.6384,0.6465,0.6546,0.6627,0.6709,0.6792,0.6876,0.6961,0.7046,0.7133,0.7221,0.7309,0.74,0.7491,0.7584,0.7678,0.7775,0.7873,0.7973,0.8075,0.818,0.8288,0.8399,0.8514,0.8632,0.8756,0.8885,0.9021,0.9166,0.9323,0.9496,0.9697,-44.6522050021846
