"","r","lambda","u[1]","u[2]","u[3]","choicePR","REPORT[1]","REPORT[2]","REPORT[3]","REPORT[4]","REPORT[5]","REPORT[6]","REPORT[7]","REPORT[8]","REPORT[9]","REPORT[10]","REPORT[11]","REPORT[12]","REPORT[13]","REPORT[14]","REPORT[15]","REPORT[16]","REPORT[17]","REPORT[18]","REPORT[19]","REPORT[20]","REPORT[21]","REPORT[22]","REPORT[23]","REPORT[24]","REPORT[25]","REPORT[26]","REPORT[27]","REPORT[28]","REPORT[29]","REPORT[30]","REPORT[31]","REPORT[32]","REPORT[33]","REPORT[34]","REPORT[35]","REPORT[36]","REPORT[37]","REPORT[38]","REPORT[39]","REPORT[40]","REPORT[41]","REPORT[42]","REPORT[43]","REPORT[44]","REPORT[45]","REPORT[46]","REPORT[47]","REPORT[48]","REPORT[49]","REPORT[50]","REPORT[51]","REPORT[52]","REPORT[53]","REPORT[54]","REPORT[55]","REPORT[56]","REPORT[57]","REPORT[58]","REPORT[59]","REPORT[60]","REPORT[61]","REPORT[62]","REPORT[63]","REPORT[64]","REPORT[65]","REPORT[66]","REPORT[67]","REPORT[68]","REPORT[69]","REPORT[70]","REPORT[71]","REPORT[72]","REPORT[73]","REPORT[74]","REPORT[75]","REPORT[76]","REPORT[77]","REPORT[78]","REPORT[79]","REPORT[80]","REPORT[81]","REPORT[82]","REPORT[83]","REPORT[84]","REPORT[85]","REPORT[86]","REPORT[87]","REPORT[88]","REPORT[89]","REPORT[90]","REPORT[91]","REPORT[92]","REPORT[93]","REPORT[94]","REPORT[95]","REPORT[96]","REPORT[97]","REPORT[98]","REPORT[99]","lp__"
"1",-0.106594301712209,33.3614041336463,-0.53180178393891,0.0563647495066772,0.46819821606109,0.949853514885355,0.0044,0.01,0.0162,0.0229,0.0299,0.0373,0.0449,0.0528,0.061,0.0694,0.0779,0.0867,0.0957,0.1048,0.1141,0.1235,0.1331,0.1428,0.1527,0.1627,0.1728,0.1831,0.1934,0.2039,0.2145,0.2251,0.2359,0.2467,0.2577,0.2687,0.2798,0.291,0.3022,0.3135,0.3249,0.3363,0.3478,0.3593,0.3708,0.3825,0.3941,0.4058,0.4175,0.4292,0.441,0.4528,0.4646,0.4764,0.4882,0.5,0.5118,0.5236,0.5354,0.5472,0.559,0.5708,0.5825,0.5942,0.6059,0.6175,0.6292,0.6407,0.6522,0.6637,0.6751,0.6865,0.6978,0.709,0.7202,0.7313,0.7423,0.7533,0.7641,0.7749,0.7855,0.7961,0.8066,0.8169,0.8272,0.8373,0.8473,0.8572,0.8669,0.8765,0.8859,0.8952,0.9043,0.9133,0.9221,0.9306,0.939,0.9472,0.9551,0.9627,0.9701,0.9771,0.9838,0.99,0.9956,-40.4332328388007
"2",0.0433733910211666,61.9757359509416,-0.565178945514782,0.0551813117272566,0.434821054485218,0.999424338848333,0.0131,0.025,0.0366,0.0478,0.0589,0.0698,0.0806,0.0912,0.1018,0.1123,0.1226,0.133,0.1432,0.1534,0.1635,0.1736,0.1836,0.1936,0.2035,0.2134,0.2232,0.2331,0.2428,0.2526,0.2623,0.272,0.2817,0.2913,0.301,0.3106,0.3202,0.3297,0.3393,0.3488,0.3583,0.3678,0.3773,0.3868,0.3963,0.4057,0.4152,0.4246,0.4341,0.4435,0.4529,0.4623,0.4718,0.4812,0.4906,0.5,0.5094,0.5188,0.5282,0.5377,0.5471,0.5565,0.5659,0.5754,0.5848,0.5943,0.6037,0.6132,0.6227,0.6322,0.6417,0.6512,0.6607,0.6703,0.6798,0.6894,0.699,0.7087,0.7183,0.728,0.7377,0.7474,0.7572,0.7669,0.7768,0.7866,0.7965,0.8064,0.8164,0.8264,0.8365,0.8466,0.8568,0.867,0.8774,0.8877,0.8982,0.9088,0.9194,0.9302,0.9411,0.9522,0.9634,0.975,0.9869,-43.4672887884063
"3",-0.154760232320759,37.9227322440975,-0.521042185624405,0.056677441546094,0.478957814375595,0.950137647698325,0.0027,0.0066,0.0113,0.0164,0.0221,0.0281,0.0345,0.0413,0.0484,0.0558,0.0635,0.0714,0.0796,0.0881,0.0968,0.1058,0.1149,0.1243,0.1339,0.1437,0.1537,0.1639,0.1743,0.1848,0.1955,0.2064,0.2175,0.2287,0.24,0.2515,0.2631,0.2748,0.2866,0.2986,0.3107,0.3228,0.3351,0.3474,0.3599,0.3724,0.385,0.3976,0.4103,0.423,0.4358,0.4486,0.4614,0.4743,0.4871,0.5,0.5129,0.5257,0.5386,0.5514,0.5642,0.577,0.5897,0.6024,0.615,0.6276,0.6401,0.6526,0.6649,0.6772,0.6893,0.7014,0.7134,0.7252,0.7369,0.7485,0.76,0.7713,0.7825,0.7936,0.8045,0.8152,0.8257,0.8361,0.8463,0.8563,0.8661,0.8757,0.8851,0.8942,0.9032,0.9119,0.9204,0.9286,0.9365,0.9442,0.9516,0.9587,0.9655,0.9719,0.9779,0.9836,0.9887,0.9934,0.9973,-40.6334785422579
"4",0.0459864016810536,42.1517414943601,-0.565757653743458,0.0551579543862775,0.434242346256542,0.993920915040075,0.0133,0.0253,0.037,0.0483,0.0595,0.0704,0.0812,0.0919,0.1025,0.113,0.1234,0.1337,0.144,0.1542,0.1643,0.1744,0.1844,0.1943,0.2043,0.2142,0.224,0.2338,0.2436,0.2533,0.263,0.2727,0.2824,0.292,0.3016,0.3112,0.3207,0.3303,0.3398,0.3493,0.3588,0.3683,0.3778,0.3872,0.3966,0.4061,0.4155,0.4249,0.4343,0.4437,0.4531,0.4625,0.4719,0.4812,0.4906,0.5,0.5094,0.5188,0.5281,0.5375,0.5469,0.5563,0.5657,0.5751,0.5845,0.5939,0.6034,0.6128,0.6222,0.6317,0.6412,0.6507,0.6602,0.6697,0.6793,0.6888,0.6984,0.708,0.7176,0.7273,0.737,0.7467,0.7564,0.7662,0.776,0.7858,0.7957,0.8057,0.8156,0.8256,0.8357,0.8458,0.856,0.8663,0.8766,0.887,0.8975,0.9081,0.9188,0.9296,0.9405,0.9517,0.963,0.9747,0.9867,-41.2330680525645
"5",-0.0881261294572901,47.3128184062888,-0.535924618690835,0.056236018894238,0.464075381309165,0.987387566373036,0.0051,0.0114,0.0183,0.0256,0.0331,0.041,0.0491,0.0574,0.0659,0.0747,0.0835,0.0926,0.1018,0.1111,0.1205,0.1301,0.1398,0.1497,0.1596,0.1696,0.1798,0.19,0.2003,0.2107,0.2212,0.2318,0.2424,0.2531,0.2639,0.2747,0.2856,0.2966,0.3076,0.3187,0.3298,0.3409,0.3521,0.3633,0.3746,0.3859,0.3972,0.4086,0.42,0.4314,0.4428,0.4542,0.4656,0.4771,0.4885,0.5,0.5115,0.5229,0.5344,0.5458,0.5572,0.5686,0.58,0.5914,0.6028,0.6141,0.6254,0.6367,0.6479,0.6591,0.6702,0.6813,0.6924,0.7034,0.7144,0.7253,0.7361,0.7469,0.7576,0.7682,0.7788,0.7893,0.7997,0.81,0.8202,0.8304,0.8404,0.8503,0.8602,0.8699,0.8795,0.8889,0.8982,0.9074,0.9165,0.9253,0.9341,0.9426,0.9509,0.959,0.9669,0.9744,0.9817,0.9886,0.9949,-40.6790537895147
"6",-0.017189615032965,47.2872294417397,-0.551733527648771,0.0556967722594188,0.448266472351229,0.993819038170661,0.0089,0.0181,0.0275,0.037,0.0466,0.0562,0.0658,0.0755,0.0853,0.0951,0.1049,0.1148,0.1246,0.1345,0.1445,0.1544,0.1644,0.1744,0.1844,0.1944,0.2045,0.2145,0.2246,0.2347,0.2448,0.2549,0.265,0.2752,0.2853,0.2955,0.3057,0.3158,0.326,0.3362,0.3464,0.3566,0.3669,0.3771,0.3873,0.3975,0.4078,0.418,0.4282,0.4385,0.4487,0.459,0.4692,0.4795,0.4897,0.5,0.5103,0.5205,0.5308,0.541,0.5513,0.5615,0.5718,0.582,0.5922,0.6025,0.6127,0.6229,0.6331,0.6434,0.6536,0.6638,0.674,0.6842,0.6943,0.7045,0.7147,0.7248,0.735,0.7451,0.7552,0.7653,0.7754,0.7855,0.7955,0.8056,0.8156,0.8256,0.8356,0.8456,0.8555,0.8655,0.8754,0.8852,0.8951,0.9049,0.9147,0.9245,0.9342,0.9438,0.9534,0.963,0.9725,0.9819,0.9911,-40.8208852221509
"7",-0.115168813243733,36.6710724237831,-0.529886964189225,0.0564228596878915,0.470113035810775,0.959498580077674,0.004,0.0093,0.0152,0.0216,0.0284,0.0356,0.043,0.0507,0.0587,0.0669,0.0753,0.084,0.0928,0.1018,0.111,0.1204,0.1299,0.1396,0.1494,0.1594,0.1695,0.1798,0.1901,0.2006,0.2112,0.2219,0.2328,0.2437,0.2547,0.2658,0.277,0.2882,0.2996,0.311,0.3225,0.334,0.3456,0.3573,0.369,0.3808,0.3926,0.4044,0.4163,0.4282,0.4401,0.4521,0.464,0.476,0.488,0.5,0.512,0.524,0.536,0.5479,0.5599,0.5718,0.5837,0.5956,0.6074,0.6192,0.631,0.6427,0.6544,0.666,0.6775,0.689,0.7004,0.7118,0.723,0.7342,0.7453,0.7563,0.7672,0.7781,0.7888,0.7994,0.8099,0.8202,0.8305,0.8406,0.8506,0.8604,0.8701,0.8796,0.889,0.8982,0.9072,0.916,0.9247,0.9331,0.9413,0.9493,0.957,0.9644,0.9716,0.9784,0.9848,0.9907,0.996,-40.3657985465392
"8",-0.226464066597268,32.4497248252199,-0.505023491544155,0.0570803803350561,0.494976508455845,0.882389323758548,0.0011,0.0031,0.0057,0.0088,0.0125,0.0165,0.021,0.0259,0.0312,0.0368,0.0429,0.0493,0.0561,0.0632,0.0707,0.0785,0.0867,0.0952,0.104,0.1131,0.1226,0.1324,0.1425,0.1529,0.1636,0.1746,0.1858,0.1974,0.2092,0.2212,0.2335,0.2461,0.2589,0.2719,0.2851,0.2985,0.3121,0.3258,0.3398,0.3538,0.3681,0.3824,0.3968,0.4114,0.426,0.4407,0.4555,0.4703,0.4851,0.5,0.5149,0.5297,0.5445,0.5593,0.574,0.5886,0.6032,0.6176,0.6319,0.6462,0.6602,0.6742,0.6879,0.7015,0.7149,0.7281,0.7411,0.7539,0.7665,0.7788,0.7908,0.8026,0.8142,0.8254,0.8364,0.8471,0.8575,0.8676,0.8774,0.8869,0.896,0.9048,0.9133,0.9215,0.9293,0.9368,0.9439,0.9507,0.9571,0.9632,0.9688,0.9741,0.979,0.9835,0.9875,0.9912,0.9943,0.9969,0.9989,-41.4363306923657
"9",-0.198575122125316,23.2227461492557,-0.511252375803338,0.0569326246383937,0.488747624196662,0.829691572041809,0.0016,0.0043,0.0076,0.0115,0.0159,0.0207,0.026,0.0316,0.0376,0.044,0.0507,0.0577,0.0651,0.0728,0.0808,0.0892,0.0978,0.1067,0.1159,0.1253,0.1351,0.1451,0.1553,0.1658,0.1766,0.1876,0.1988,0.2102,0.2219,0.2337,0.2458,0.258,0.2704,0.283,0.2958,0.3087,0.3217,0.3349,0.3482,0.3616,0.3752,0.3888,0.4025,0.4163,0.4301,0.4441,0.458,0.472,0.486,0.5,0.514,0.528,0.542,0.5559,0.5699,0.5837,0.5975,0.6112,0.6248,0.6384,0.6518,0.6651,0.6783,0.6913,0.7042,0.717,0.7296,0.742,0.7542,0.7663,0.7781,0.7898,0.8012,0.8124,0.8234,0.8342,0.8447,0.8549,0.8649,0.8747,0.8841,0.8933,0.9022,0.9108,0.9192,0.9272,0.9349,0.9423,0.9493,0.956,0.9624,0.9684,0.974,0.9793,0.9841,0.9885,0.9924,0.9957,0.9984,-42.0702509457849
"10",-0.173740396521651,26.4534817870762,-0.516801120682774,0.0567914281274117,0.483198879317226,0.875095015966861,0.0022,0.0055,0.0096,0.0142,0.0193,0.0248,0.0307,0.037,0.0436,0.0506,0.0579,0.0654,0.0733,0.0815,0.0899,0.0986,0.1075,0.1168,0.1262,0.1359,0.1458,0.1559,0.1662,0.1768,0.1875,0.1985,0.2096,0.2209,0.2324,0.244,0.2558,0.2678,0.2799,0.2921,0.3045,0.317,0.3295,0.3422,0.355,0.3679,0.3809,0.3939,0.4071,0.4202,0.4334,0.4467,0.46,0.4733,0.4867,0.5,0.5133,0.5267,0.54,0.5533,0.5666,0.5798,0.5929,0.6061,0.6191,0.6321,0.645,0.6578,0.6705,0.683,0.6955,0.7079,0.7201,0.7322,0.7442,0.756,0.7676,0.7791,0.7904,0.8015,0.8125,0.8232,0.8338,0.8441,0.8542,0.8641,0.8738,0.8832,0.8925,0.9014,0.9101,0.9185,0.9267,0.9346,0.9421,0.9494,0.9564,0.963,0.9693,0.9752,0.9807,0.9858,0.9904,0.9945,0.9978,-41.3797834137983
